GHO,YEAR,COUNTRY,GROUP,SEX_CODE,SEX,NUMERIC,GroupCode,,
nqx,2012,India,44,FMLE,Female,0.015,40_44,,
nqx,2000,India,49,FMLE,Female,0.027,45_49,,
nqx,2000,India,59,FMLE,Female,0.067,55_59,,
nqx,2000,India,74,FMLE,Female,0.25,70_74,,
nqx,2000,India,79,FMLE,Female,0.346,75_79,,
nqx,1990,India,89,FMLE,Female,0.593,85_89,,
nqx,2012,India,99,FMLE,Female,0.743,95_99,,
nqx,1990,India,110,FMLE,Female,1,100+,,
lx,1990,India,4,FMLE,Female,91400,1_4,,
lx,2012,India,4,FMLE,Female,95570,1_4,,
lx,1990,India,9,FMLE,Female,87031,5_9,,
lx,2000,India,19,FMLE,Female,88836,15_19,,
lx,2000,India,34,FMLE,Female,85492,30_34,,
lx,2000,India,49,FMLE,Female,81367,45_49,,
lx,2000,India,59,FMLE,Female,75792,55_59,,
lx,2012,India,59,FMLE,Female,82673,55_59,,
lx,2000,India,99,FMLE,Female,1983,95_99,,
ndx,2012,India,4,FMLE,Female,1427,1_4,,x+n
ndx,2012,India,19,FMLE,Female,683,15_19,,x+n
ndx,1990,India,24,FMLE,Female,1458,20_24,,x+n
ndx,1990,India,34,FMLE,Female,1376,30_34,,x+n
ndx,2012,India,34,FMLE,Female,937,30_34,,x+n
ndx,2000,India,49,FMLE,Female,2231,45_49,,x+n
ndx,2012,India,74,FMLE,Female,13679,70_74,,x+n
ndx,2000,India,79,FMLE,Female,13654,75_79,,x+n
ndx,2000,India,89,FMLE,Female,7822,85_89,,x+n
ndx,1990,India,94,FMLE,Female,2937,90_94,,x+n
ndx,1990,India,110,FMLE,Female,271,100+,,x+n
ndx,2012,India,110,FMLE,Female,787,100+,,x+n
nLx,1990,India,4,FMLE,Female,354205,1_4,,
nLx,2012,India,4,FMLE,Female,378642,1_4,,
nLx,1990,India,9,FMLE,Female,431528,5_9,,
nLx,1990,India,19,FMLE,Female,421590,15_19,,
nLx,1990,India,34,FMLE,Female,400804,30_34,,
nLx,2012,India,34,FMLE,Female,451358,30_34,,
nLx,1990,India,49,FMLE,Female,374841,45_49,,
nLx,1990,India,59,FMLE,Female,336222,55_59,,
nLx,2012,India,59,FMLE,Female,403146,55_59,,
nLx,1990,India,64,FMLE,Female,301926,60_64,,
nLx,2000,India,74,FMLE,Female,230847,70_74,,
nLx,1990,India,79,FMLE,Female,132390,75_79,,
nLx,2000,India,89,FMLE,Female,48066,85_89,,
nLx,2012,India,99,FMLE,Female,8638,95_99,,
nLx,2000,India,110,FMLE,Female,1258,100+,,
Tx,2012,India,14,FMLE,Female,5847972,10_14,,
Tx,1990,India,19,FMLE,Female,4506188,15_19,,
Tx,2000,India,29,FMLE,Female,4031444,25_29,,
Tx,1990,India,34,FMLE,Female,3261925,30_34,,
Tx,2000,India,44,FMLE,Female,2758254,40_44,,
Tx,2012,India,54,FMLE,Female,2230612,50_54,,
Tx,2000,India,69,FMLE,Female,855175,65_69,,
Tx,1990,India,74,FMLE,Female,455358,70_74,,
Tx,1990,India,89,FMLE,Female,51714,85_89,,
Tx,1990,India,99,FMLE,Female,4069,95_99,,
Tx,2000,India,99,FMLE,Female,6670,95_99,,
ex,2000,India,14,FMLE,Female,60,10_14,,
ex,1990,India,29,FMLE,Female,45,25_29,,
ex,2000,India,29,FMLE,Female,47,25_29,,
ex,2012,India,29,FMLE,Female,49,25_29,,
ex,2000,India,54,FMLE,Female,25,50_54,,
ex,2012,India,69,FMLE,Female,15,65_69,,
ex,1990,India,74,FMLE,Female,10,70_74,,
nMx,1990,India,1,MLE,Male,0.096,<1,,
nMx,2000,India,14,MLE,Male,0.001,10_14,,
nMx,2012,India,24,MLE,Male,0.002,20_24,,
nMx,2000,India,39,MLE,Male,0.005,35_39,,
nMx,2000,India,44,MLE,Male,0.006,40_44,,
nMx,1990,India,69,MLE,Male,0.05,65_69,,
nMx,2000,India,69,MLE,Male,0.047,65_69,,
nMx,2012,India,69,MLE,Male,0.043,65_69,,
nMx,1990,India,84,MLE,Male,0.142,80_84,,
nMx,2012,India,84,MLE,Male,0.127,80_84,,
nMx,2012,India,1,BTSX,Both sexes,0.045,<1,,
nMx,1990,India,4,BTSX,Both sexes,0.01,1_4,,
nMx,2000,India,4,BTSX,Both sexes,0.007,1_4,,
nMx,1990,India,14,BTSX,Both sexes,0.002,10_14,,
nMx,2000,India,19,BTSX,Both sexes,0.002,15_19,,
nMx,2000,India,29,BTSX,Both sexes,0.003,25_29,,
nMx,2012,India,29,BTSX,Both sexes,0.002,25_29,,
nMx,1990,India,34,BTSX,Both sexes,0.003,30_34,,
nMx,2012,India,39,BTSX,Both sexes,0.003,35_39,,
nMx,2012,India,54,BTSX,Both sexes,0.009,50_54,,
nMx,2012,India,59,BTSX,Both sexes,0.014,55_59,,
nMx,2012,India,69,BTSX,Both sexes,0.037,65_69,,
nMx,1990,India,99,BTSX,Both sexes,0.297,95_99,,
nMx,2012,India,99,BTSX,Both sexes,0.263,95_99,,
nMx,1990,India,110,BTSX,Both sexes,0.381,100+,,
nqx,2012,India,4,MLE,Male,0.011,1_4,,
nqx,1990,India,19,MLE,Male,0.009,15_19,,
nqx,2000,India,19,MLE,Male,0.008,15_19,,
nqx,2000,India,34,MLE,Male,0.018,30_34,,
nqx,2012,India,34,MLE,Male,0.016,30_34,,
nqx,1990,India,39,MLE,Male,0.022,35_39,,
nqx,1990,India,49,MLE,Male,0.047,45_49,,
nqx,2012,India,49,MLE,Male,0.039,45_49,,
nqx,2012,India,59,MLE,Male,0.082,55_59,,
nqx,2000,India,64,MLE,Male,0.145,60_64,,
nqx,1990,India,94,MLE,Male,0.7,90_94,,
nqx,2012,India,110,MLE,Male,1,100+,,
nqx,2012,India,9,BTSX,Both sexes,0.006,5_9,,
nqx,2000,India,39,BTSX,Both sexes,0.02,35_39,,
nqx,2000,India,49,BTSX,Both sexes,0.036,45_49,,
nqx,2000,India,64,BTSX,Both sexes,0.127,60_64,,
nqx,2012,India,64,BTSX,Both sexes,0.11,60_64,,
nqx,2000,India,79,BTSX,Both sexes,0.371,75_79,,
nqx,2012,India,94,BTSX,Both sexes,0.648,90_94,,
nqx,2000,India,110,BTSX,Both sexes,1,100+,,
nqx,2012,India,110,BTSX,Both sexes,1,100+,,
lx,1990,India,1,MLE,Male,100000,<1,,
lx,2012,India,9,MLE,Male,94600,5_9,,
lx,2000,India,14,MLE,Male,90497,10_14,,
lx,2012,India,14,MLE,Male,94053,10_14,,
lx,1990,India,29,MLE,Male,84221,25_29,,
lx,1990,India,44,MLE,Male,79805,40_44,,
lx,2000,India,59,MLE,Male,72375,55_59,,
lx,1990,India,69,MLE,Male,51579,65_69,,
lx,1990,India,74,MLE,Male,40012,70_74,,
lx,2012,India,79,MLE,Male,36347,75_79,,
lx,1990,India,99,MLE,Male,932,95_99,,
lx,2012,India,99,MLE,Male,1801,95_99,,
lx,2000,India,4,BTSX,Both sexes,93346,1_4,,
lx,1990,India,19,BTSX,Both sexes,85492,15_19,,
lx,2012,India,29,BTSX,Both sexes,91866,25_29,,
lx,1990,India,34,BTSX,Both sexes,81983,30_34,,
lx,1990,India,74,BTSX,Both sexes,42563,70_74,,
lx,2012,India,74,BTSX,Both sexes,55135,70_74,,
lx,2012,India,84,BTSX,Both sexes,27352,80_84,,
ndx,2000,India,14,MLE,Male,546,10_14,,x+n
ndx,2000,India,29,MLE,Male,1257,25_29,,x+n
ndx,2012,India,49,MLE,Male,3293,45_49,,x+n
ndx,2012,India,79,MLE,Male,13578,75_79,,x+n
ndx,1990,India,84,MLE,Male,8401,80_84,,x+n
ndx,1990,India,4,BTSX,Both sexes,3721,1_4,,x+n
ndx,1990,India,14,BTSX,Both sexes,679,10_14,,x+n
ndx,2000,India,14,BTSX,Both sexes,563,10_14,,x+n
ndx,2000,India,69,BTSX,Both sexes,11184,65_69,,x+n
ndx,2012,India,69,BTSX,Both sexes,11133,65_69,,x+n
ndx,1990,India,84,BTSX,Both sexes,9176,80_84,,x+n
ndx,2012,India,94,BTSX,Both sexes,4403,90_94,,x+n
ndx,2000,India,99,BTSX,Both sexes,1209,95_99,,x+n
nLx,1990,India,4,MLE,Male,355845,1_4,,
nLx,1990,India,9,MLE,Male,436478,5_9,,
nLx,2012,India,29,MLE,Male,457796,25_29,,
nLx,1990,India,34,MLE,Male,411782,30_34,,
nLx,2000,India,34,MLE,Male,430829,30_34,,
nLx,2000,India,49,MLE,Male,396046,45_49,,
nLx,2000,India,59,MLE,Male,345743,55_59,,
nLx,1990,India,64,MLE,Male,283226,60_64,,
nLx,2000,India,64,MLE,Male,305081,60_64,,
nLx,2000,India,74,MLE,Male,188688,70_74,,
nLx,2012,India,74,MLE,Male,215878,70_74,,
nLx,1990,India,79,MLE,Male,109083,75_79,,
nLx,1990,India,89,MLE,Male,26258,85_89,,
nLx,2000,India,89,MLE,Male,31890,85_89,,
nLx,2012,India,110,MLE,Male,1413,100+,,
nLx,1990,India,1,BTSX,Both sexes,93828,<1,,
nLx,2000,India,19,BTSX,Both sexes,445092,15_19,,
nLx,2012,India,19,BTSX,Both sexes,465558,15_19,,
nLx,1990,India,24,BTSX,Both sexes,419539,20_24,,
nLx,2012,India,24,BTSX,Both sexes,461654,20_24,,
nLx,1990,India,39,BTSX,Both sexes,398878,35_39,,
nLx,2000,India,39,BTSX,Both sexes,420296,35_39,,
nLx,1990,India,54,BTSX,Both sexes,357689,50_54,,
nLx,2012,India,64,BTSX,Both sexes,353013,60_64,,
nLx,2000,India,79,BTSX,Both sexes,142690,75_79,,
nLx,1990,India,94,BTSX,Both sexes,10867,90_94,,
nLx,2000,India,110,BTSX,Both sexes,1019,100+,,
Tx,2012,India,4,MLE,Male,6350007,1_4,,
Tx,2000,India,14,MLE,Male,5147877,10_14,,
